"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","www.justice.fr/","443","WARN","No engine or GOST support via engine with your /home/testssl/bin/openssl.Linux.x86_64","",""
"service","www.justice.fr/185.24.184.180","443","INFO","HTTP","",""
"pre_128cipher","www.justice.fr/185.24.184.180","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.justice.fr/185.24.184.180","443","OK","not offered","",""
"SSLv3","www.justice.fr/185.24.184.180","443","OK","not offered","",""
"TLS1","www.justice.fr/185.24.184.180","443","INFO","not offered","",""
"TLS1_1","www.justice.fr/185.24.184.180","443","INFO","not offered","",""
"TLS1_2","www.justice.fr/185.24.184.180","443","OK","offered","",""
"TLS1_3","www.justice.fr/185.24.184.180","443","OK","offered with final","",""
"ALPN","www.justice.fr/185.24.184.180","443","INFO","not offered","",""
"cipherlist_NULL","www.justice.fr/185.24.184.180","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.justice.fr/185.24.184.180","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.justice.fr/185.24.184.180","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.justice.fr/185.24.184.180","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.justice.fr/185.24.184.180","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.justice.fr/185.24.184.180","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.justice.fr/185.24.184.180","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.justice.fr/185.24.184.180","443","OK","offered","",""
"cipher_order-tls1_2","www.justice.fr/185.24.184.180","443","OK","server","",""
"cipherorder_TLSv1_2","www.justice.fr/185.24.184.180","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.justice.fr/185.24.184.180","443","OK","server","",""
"FS","www.justice.fr/185.24.184.180","443","OK","offered","",""
"FS_ciphers","www.justice.fr/185.24.184.180","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.justice.fr/185.24.184.180","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.justice.fr/185.24.184.180","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","www.justice.fr/185.24.184.180","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.justice.fr/185.24.184.180","443","INFO","yes","",""
"sessionresumption_ticket","www.justice.fr/185.24.184.180","443","INFO","not supported","",""
"sessionresumption_ID","www.justice.fr/185.24.184.180","443","INFO","supported","",""
"TLS_timestamp","www.justice.fr/185.24.184.180","443","INFO","random","",""
"certificate_compression","www.justice.fr/185.24.184.180","443","INFO","none","",""
