"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","piste.gouv.fr/185.24.185.46","443","INFO","HTTP","",""
"pre_128cipher","piste.gouv.fr/185.24.185.46","443","INFO","No 128 cipher limit bug","",""
"SSLv2","piste.gouv.fr/185.24.185.46","443","OK","not offered","",""
"SSLv3","piste.gouv.fr/185.24.185.46","443","OK","not offered","",""
"TLS1","piste.gouv.fr/185.24.185.46","443","INFO","not offered","",""
"TLS1_1","piste.gouv.fr/185.24.185.46","443","INFO","not offered","",""
"TLS1_2","piste.gouv.fr/185.24.185.46","443","OK","offered","",""
"TLS1_3","piste.gouv.fr/185.24.185.46","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","piste.gouv.fr/185.24.185.46","443","INFO","http/1.1","",""
"cipherlist_NULL","piste.gouv.fr/185.24.185.46","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","piste.gouv.fr/185.24.185.46","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","piste.gouv.fr/185.24.185.46","443","OK","not offered","","CWE-327"
"cipherlist_LOW","piste.gouv.fr/185.24.185.46","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","piste.gouv.fr/185.24.185.46","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","piste.gouv.fr/185.24.185.46","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","piste.gouv.fr/185.24.185.46","443","OK","offered","",""
"cipherlist_STRONG","piste.gouv.fr/185.24.185.46","443","OK","offered","",""
"cipher_order","piste.gouv.fr/185.24.185.46","443","OK","server","",""
"protocol_negotiated","piste.gouv.fr/185.24.185.46","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","piste.gouv.fr/185.24.185.46","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","piste.gouv.fr/185.24.185.46","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","piste.gouv.fr/185.24.185.46","443","OK","offered","",""
"FS_ciphers","piste.gouv.fr/185.24.185.46","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","piste.gouv.fr/185.24.185.46","443","INFO","secp224r1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","piste.gouv.fr/185.24.185.46","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","piste.gouv.fr/185.24.185.46","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","piste.gouv.fr/185.24.185.46","443","INFO","yes","",""
"sessionresumption_ticket","piste.gouv.fr/185.24.185.46","443","INFO","not supported","",""
"sessionresumption_ID","piste.gouv.fr/185.24.185.46","443","INFO","supported","",""
"TLS_timestamp","piste.gouv.fr/185.24.185.46","443","INFO","off by -4 seconds from your localtime","",""
"cert_compression","piste.gouv.fr/185.24.185.46","443","INFO","N/A","",""
"clientAuth","piste.gouv.fr/185.24.185.46","443","INFO","none","",""
"cert_numbers","piste.gouv.fr/185.24.185.46","443","INFO","1","",""
"cert_signatureAlgorithm","piste.gouv.fr/185.24.185.46","443","OK","SHA256 with RSA","",""
"cert_keySize","piste.gouv.fr/185.24.185.46","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","piste.gouv.fr/185.24.185.46","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","piste.gouv.fr/185.24.185.46","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","piste.gouv.fr/185.24.185.46","443","INFO","3AFE0DA9E97BEA30CE2DADC217C524CD","",""
"cert_serialNumberLen","piste.gouv.fr/185.24.185.46","443","INFO","16","",""
"cert_fingerprintSHA1","piste.gouv.fr/185.24.185.46","443","INFO","10DEE56C775744080668179DAAACB3EDDFD6BDC8","",""
"cert_fingerprintSHA256","piste.gouv.fr/185.24.185.46","443","INFO","19CB6C5C2CC9AC83C2044F991040E65F306B28EC9B0CB30021D3014D4BA446C6","",""
