"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","search.judilibre.io/51.159.85.176","443","INFO","HTTP","",""
"pre_128cipher","search.judilibre.io/51.159.85.176","443","INFO","No 128 cipher limit bug","",""
"SSLv2","search.judilibre.io/51.159.85.176","443","OK","not offered","",""
"SSLv3","search.judilibre.io/51.159.85.176","443","OK","not offered","",""
"TLS1","search.judilibre.io/51.159.85.176","443","INFO","not offered","",""
"TLS1_1","search.judilibre.io/51.159.85.176","443","INFO","not offered","",""
"TLS1_2","search.judilibre.io/51.159.85.176","443","OK","offered","",""
"TLS1_3","search.judilibre.io/51.159.85.176","443","OK","offered with final","",""
"ALPN_HTTP2","search.judilibre.io/51.159.85.176","443","OK","h2","",""
"ALPN","search.judilibre.io/51.159.85.176","443","INFO","http/1.1","",""
"cipherlist_NULL","search.judilibre.io/51.159.85.176","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","search.judilibre.io/51.159.85.176","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","search.judilibre.io/51.159.85.176","443","OK","not offered","","CWE-327"
"cipherlist_LOW","search.judilibre.io/51.159.85.176","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","search.judilibre.io/51.159.85.176","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","search.judilibre.io/51.159.85.176","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","search.judilibre.io/51.159.85.176","443","INFO","not offered","",""
"cipherlist_STRONG","search.judilibre.io/51.159.85.176","443","OK","offered","",""
"cipher_order-tls1_2","search.judilibre.io/51.159.85.176","443","OK","server","",""
"cipherorder_TLSv1_2","search.judilibre.io/51.159.85.176","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","search.judilibre.io/51.159.85.176","443","OK","server","",""
"FS","search.judilibre.io/51.159.85.176","443","OK","offered","",""
"FS_ciphers","search.judilibre.io/51.159.85.176","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","search.judilibre.io/51.159.85.176","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","search.judilibre.io/51.159.85.176","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","search.judilibre.io/51.159.85.176","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","search.judilibre.io/51.159.85.176","443","INFO","yes","",""
"sessionresumption_ticket","search.judilibre.io/51.159.85.176","443","INFO","not supported","",""
"sessionresumption_ID","search.judilibre.io/51.159.85.176","443","INFO","not supported","",""
"TLS_timestamp","search.judilibre.io/51.159.85.176","443","INFO","random","",""
"certificate_compression","search.judilibre.io/51.159.85.176","443","INFO","none","",""
"clientAuth","search.judilibre.io/51.159.85.176","443","INFO","none","",""
"cert_numbers","search.judilibre.io/51.159.85.176","443","INFO","1","",""
"cert_signatureAlgorithm","search.judilibre.io/51.159.85.176","443","OK","SHA256 with RSA","",""
"cert_keySize","search.judilibre.io/51.159.85.176","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","search.judilibre.io/51.159.85.176","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","search.judilibre.io/51.159.85.176","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","search.judilibre.io/51.159.85.176","443","INFO","03A46159FCCA1A7FF7C2065B693CE19930A6","",""
"cert_serialNumberLen","search.judilibre.io/51.159.85.176","443","INFO","18","",""
"cert_fingerprintSHA1","search.judilibre.io/51.159.85.176","443","INFO","B97AA33516A9BEF32C561B4DC38EF9CCF6DCB435","",""
"cert_fingerprintSHA256","search.judilibre.io/51.159.85.176","443","INFO","3DF60E90C819A4CABD6286145F1512077A169EF4B960CF0268915499C13E6C45","",""
